Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Richie Sagrado,20.0,Venezia,it Serie A,DF,Finisher,140,0,0,0,0.1,0.0,2,1.0
Faik Sakar,16.0,RB Leipzig,de Bundesliga,MF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Jan Salas,18.0,Mallorca,es La Liga,"MF,FW",Finisher,43,0,0,0,0.1,0.0,4,0.0
Chuky san jose,20.0,Valladolid,es La Liga,MF,Finisher,728,2,0,2,2.2,1.2,15,0.5
Juanlu Sánchez,20.0,Sevilla,es La Liga,"MF,DF",Playmaker,1722,4,4,8,2.1,2.8,68,0.5625
Nhoa Sangui,18.0,Reims,fr Ligue 1,"DF,MF",Playmaker,1158,0,2,2,0.1,0.5,45,0.38461538461538464
Jesús Santiago,20.0,Getafe,es La Liga,MF,Finisher,372,0,0,0,0.0,0.0,16,0.21052631578947367
Andrey Santos,20.0,Strasbourg,fr Ligue 1,MF,Defender,2855,10,3,13,5.1,3.3,149,1.0
Kauã Santos,21.0,Eint Frankfurt,de Bundesliga,GK,Finisher,765,0,0,0,0.0,0.0,1,0.8888888888888888
Mamadou Sarr,18.0,Strasbourg,fr Ligue 1,DF,Playmaker,2365,0,1,1,0.8,0.3,52,1.0
Sávio,20.0,Manchester City,eng Premier League,"FW,MF",Defender,1766,1,8,9,5.0,6.9,67,0.7241379310344828
Nicolò Savona,21.0,Juventus,it Serie A,DF,Playmaker,1724,2,1,3,0.5,1.2,59,0.6785714285714286
Joe Scally,21.0,Gladbach,de Bundesliga,DF,Playmaker,2578,0,0,0,0.4,1.1,68,0.9375
Giorgio Scalvini,20.0,Atalanta,it Serie A,DF,Finisher,272,0,0,0,0.1,0.0,20,0.6666666666666666
Oliver Scarles,18.0,West Ham,eng Premier League,"DF,FW",Finisher,665,0,0,0,0.1,0.1,22,0.4666666666666667
Dane Scarlett,20.0,Tottenham,eng Premier League,"FW,MF",Finisher,34,0,1,1,0.0,0.0,1,0.0
Joël Schingtienne,21.0,Venezia,it Serie A,DF,Finisher,1122,0,0,0,0.0,0.1,28,0.75
Alex Scott,20.0,Bournemouth,eng Premier League,MF,Finisher,755,0,0,0,0.7,0.9,52,0.4
Jérémy Sebas,21.0,Strasbourg,fr Ligue 1,"FW,MF",Finisher,190,0,0,0,0.7,0.0,3,0.07692307692307693
Jacopo Seghetti,19.0,Empoli,it Serie A,GK,Finisher,90,0,0,0,0.0,0.0,0,1.0
Hiroki Sekine,21.0,Reims,fr Ligue 1,DF,Finisher,887,0,0,0,0.1,0.2,39,0.6
Nicolás Serrano,21.0,Athletic Club,es La Liga,FW,Finisher,112,0,0,0,0.2,0.0,4,0.25
Benjamin Šeško,21.0,RB Leipzig,de Bundesliga,"FW,MF",Defender,2380,13,5,18,10.0,2.1,46,0.9090909090909091
Armindo Sieb,21.0,Mainz 05,de Bundesliga,"FW,MF",Playmaker,762,2,2,4,2.8,1.1,18,0.18518518518518517
Zain Silcott-Duberry,19.0,Bournemouth,eng Premier League,FW,Finisher,1,0,0,0,0.0,0.0,0,0.0
Eric da Silva Moreira,18.0,Nott'ham Forest,eng Premier League,"MF,DF",Finisher,30,0,0,0,0.0,0.0,0,0.0
Giuliano Simeone,21.0,Atlético Madrid,es La Liga,MF,Playmaker,1926,2,6,8,2.2,5.2,49,0.7878787878787878
Xavi Simons,21.0,RB Leipzig,de Bundesliga,MF,Defender,2150,10,6,16,5.1,6.3,140,1.0
Jahmai Simpson-Pusey,18.0,Manchester City,eng Premier League,DF,Finisher,96,0,0,0,0.0,0.0,3,0.5
Ayanda Sishuba,19.0,Rennes,fr Ligue 1,FW,Finisher,3,0,0,0,0.0,0.0,0,0.0
Niama Sissoko,18.0,Reims,fr Ligue 1,"FW,MF",Finisher,47,0,0,0,0.3,0.0,1,0.0
Justin Smith,21.0,Espanyol,es La Liga,MF,Finisher,209,0,0,0,0.0,0.0,6,0.6
Arnau Solà,21.0,Villarreal,es La Liga,MF,Finisher,13,0,0,0,0.0,0.0,0,0.0
Julio Soler,19.0,Bournemouth,eng Premier League,"DF,FW",Finisher,11,0,0,0,0.0,0.0,0,0.0
Jhon Solis,19.0,Girona,es La Liga,MF,Finisher,535,1,0,1,0.7,0.1,29,0.15789473684210525
Hugo Sotelo,20.0,Celta Vigo,es La Liga,MF,Playmaker,1254,0,0,0,0.2,1.7,83,0.625
Matìas Soulé,21.0,Roma,it Serie A,"MF,DF",Defender,1781,5,5,10,3.0,5.2,89,0.8148148148148148
Jay Stansfield,21.0,Fulham,eng Premier League,MF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Lucas Stassin,19.0,Saint-Étienne,fr Ligue 1,FW,Defender,1887,12,4,16,7.0,3.4,35,0.8214285714285714
Orri Steinn Óskarsson,19.0,Real Sociedad,es La Liga,FW,Finisher,944,3,0,3,5.2,0.2,9,0.391304347826087
Enzo Sternal,17.0,Marseille,fr Ligue 1,"FW,MF",Finisher,24,0,0,0,0.0,0.0,0,0.0
Finley Stevens,21.0,St. Pauli,de Bundesliga,DF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Luka Sučić,21.0,Real Sociedad,es La Liga,MF,Playmaker,1792,1,1,2,3.3,2.6,79,0.7241379310344828
Ibrahim Sulemana,21.0,Atalanta,it Serie A,MF,Finisher,283,2,0,2,0.6,0.0,12,0.3333333333333333
Zion Suzuki,21.0,Parma,it Serie A,GK,Playmaker,3314,0,0,0,0.0,0.0,0,1.0
Williot Swedberg,20.0,Celta Vigo,es La Liga,"FW,MF",Playmaker,1348,4,5,9,5.2,2.6,28,0.46875
Abakar Sylla,21.0,Strasbourg,fr Ligue 1,DF,Finisher,950,1,0,1,0.4,0.1,21,0.47619047619047616
Axel Tapé,16.0,Paris S-G,fr Ligue 1,"DF,MF",Finisher,180,0,0,0,0.0,0.0,5,1.0
Loum Tchaouna,20.0,Lazio,it Serie A,"FW,MF",Finisher,660,1,0,1,2.5,0.6,20,0.25
Enzo Tchato,21.0,Montpellier,fr Ligue 1,DF,Playmaker,1899,0,0,0,0.1,1.5,62,0.7777777777777778
Martín Tejón,20.0,Valencia,es La Liga,"MF,DF",Finisher,49,0,0,0,0.1,0.0,4,0.0
Mathys Tel,19.0,Tottenham,eng Premier League,FW,Playmaker,911,2,1,3,3.0,2.5,21,0.8461538461538461
Mathys Tel,19.0,Bayern Munich,de Bundesliga,"FW,MF",Finisher,256,0,1,1,0.7,0.3,9,0.25
Filippo Terracciano,21.0,Milan,it Serie A,"DF,MF",Finisher,539,0,0,0,0.2,0.1,14,0.46153846153846156
Umut Tohumcu,19.0,Hoffenheim,de Bundesliga,"MF,FW",Finisher,375,0,1,1,0.1,0.4,13,0.25
Luka Topalović,18.0,Inter,it Serie A,MF,Finisher,11,0,0,0,0.0,0.0,0,0.0
Pablo Torre,21.0,Barcelona,es La Liga,"MF,FW",Finisher,310,3,1,4,0.4,0.8,17,0.4
David Torres,21.0,Valladolid,es La Liga,DF,Playmaker,1387,0,0,0,0.3,0.0,37,0.8333333333333334
Lorenzo Tosto,18.0,Empoli,it Serie A,DF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Bazoumana Touré,18.0,Hoffenheim,de Bundesliga,"FW,MF",Finisher,609,0,3,3,1.4,1.9,14,0.5384615384615384
Ousmane Toure,19.0,Lille,fr Ligue 1,DF,Finisher,6,0,0,0,0.0,0.0,2,0.0
Souleymane Touré,21.0,Udinese,it Serie A,DF,Finisher,733,1,0,1,0.4,0.0,26,0.9166666666666666
Ryan Trevitt,21.0,Brentford,eng Premier League,MF,Finisher,4,0,0,0,0.0,0.0,0,0.0
Christantus Uche,21.0,Getafe,es La Liga,"FW,MF",Playmaker,2486,4,6,10,3.8,2.9,49,0.9090909090909091
Destiny Udogie,21.0,Tottenham,eng Premier League,DF,Playmaker,1924,0,1,1,0.3,1.5,121,0.96
Lesley Ugochukwu,20.0,Southampton,eng Premier League,MF,Playmaker,1655,1,1,2,0.9,1.0,49,0.6923076923076923
Lukas Ullrich,20.0,Gladbach,de Bundesliga,DF,Playmaker,1903,1,2,3,0.9,1.8,39,0.9230769230769231
Naci Ünüvar,21.0,Espanyol,es La Liga,"MF,DF",Finisher,31,0,0,0,0.0,0.0,1,0.0
Kacper Urbanski,19.0,Bologna,it Serie A,MF,Finisher,247,1,0,1,0.3,0.5,15,0.14285714285714285
Kacper Urbanski,19.0,Monza,it Serie A,MF,Finisher,500,0,0,0,0.1,0.1,41,0.75
Jonas Urbig,20.0,Bayern Munich,de Bundesliga,GK,Finisher,720,0,0,0,0.0,0.0,3,1.0
Can Uzun,18.0,Eint Frankfurt,de Bundesliga,"MF,FW",Playmaker,675,4,1,5,3.0,1.1,42,0.3
Álex Valle,20.0,Como,it Serie A,DF,Finisher,1030,0,0,0,0.3,0.7,44,0.8
Robinio Vaz,17.0,Marseille,fr Ligue 1,FW,Finisher,75,0,0,0,0.5,0.0,0,0.0
Jesus Vazquez,21.0,Valencia,es La Liga,DF,Finisher,919,0,0,0,0.1,0.6,21,0.5263157894736842
Danilo Veiga,21.0,Lecce,it Serie A,DF,Finisher,374,0,0,0,0.6,0.3,10,0.15384615384615385
Renato Veiga,21.0,Chelsea,eng Premier League,"DF,MF",Finisher,181,0,0,0,0.1,0.0,7,0.14285714285714285
Renato Veiga,21.0,Juventus,it Serie A,DF,Finisher,1093,0,1,1,1.0,0.1,40,0.9230769230769231
Alejo Véliz,20.0,Espanyol,es La Liga,FW,Finisher,1127,1,0,1,2.3,0.6,8,0.37037037037037035
Lorenzo Venturino,18.0,Genoa,it Serie A,"FW,MF",Finisher,167,2,0,2,0.7,0.2,7,0.16666666666666666
Nikolas Veratschnig,21.0,Mainz 05,de Bundesliga,"DF,MF",Finisher,364,0,0,0,0.2,0.3,7,0.13333333333333333
Bart Verbruggen,21.0,Brighton,eng Premier League,GK,Playmaker,3240,0,1,1,0.0,0.0,2,1.0
Arthur Vermeeren,19.0,RB Leipzig,de Bundesliga,MF,Playmaker,1572,0,2,2,0.4,0.9,77,0.6428571428571429
Ben Viadere,18.0,Auxerre,fr Ligue 1,MF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Gabriel Vidovic,20.0,Mainz 05,de Bundesliga,MF,Finisher,4,0,0,0,0.1,0.0,0,0.0
Gabriel Vidovic,20.0,Bayern Munich,de Bundesliga,MF,Finisher,24,0,0,0,0.1,0.0,0,0.0
Sergio Viera,19.0,Las Palmas,es La Liga,MF,Finisher,96,0,0,0,0.0,0.0,2,0.5
Samuele Vignato,20.0,Monza,it Serie A,MF,Finisher,470,0,0,0,0.3,0.0,17,0.17647058823529413
Krapyvtsov Vladyslav,19.0,Girona,es La Liga,GK,Finisher,180,0,0,0,0.0,0.0,0,1.0
Vanja Vlahović,20.0,Atalanta,it Serie A,"FW,MF",Finisher,60,0,0,0,0.2,0.1,0,0.0
Aster Vranckx,21.0,Wolfsburg,de Bundesliga,MF,Finisher,556,0,0,0,0.0,0.0,20,0.42857142857142855
Robert Wagner,21.0,St. Pauli,de Bundesliga,MF,Finisher,407,0,0,0,0.1,0.0,10,0.4166666666666667
Elye Wahi,21.0,Marseille,fr Ligue 1,FW,Finisher,574,3,1,4,6.0,0.4,7,0.5384615384615384
Elye Wahi,21.0,Eint Frankfurt,de Bundesliga,"FW,MF",Finisher,196,0,0,0,1.3,0.1,5,0.125
Paul Wanner,18.0,Heidenheim,de Bundesliga,"MF,FW",Playmaker,1771,3,2,5,3.7,1.3,64,0.6896551724137931
Kjell-Arik Wätjen,18.0,Dortmund,de Bundesliga,MF,Finisher,16,0,0,0,0.0,0.0,0,0.0
Nelson Weiper,19.0,Mainz 05,de Bundesliga,"FW,MF",Playmaker,704,3,2,5,4.1,1.9,13,0.30434782608695654
Adam Wharton,20.0,Crystal Palace,eng Premier League,MF,Playmaker,1318,0,2,2,0.4,3.0,107,0.8
Caleb Wiley,19.0,Strasbourg,fr Ligue 1,"DF,MF",Finisher,266,0,1,1,0.0,0.7,7,0.5
Ben Winterburn,19.0,Bournemouth,eng Premier League,"MF,FW",Finisher,24,0,0,0,0.0,0.0,0,0.0
Florian Wirtz,21.0,Leverkusen,de Bundesliga,"MF,FW",Defender,2351,10,12,22,9.4,7.0,176,0.8064516129032258
Lamine Yamal,17.0,Barcelona,es La Liga,FW,Defender,2856,9,13,22,9.8,13.9,160,0.8857142857142857
Daniel Yáñez,17.0,Real Madrid,es La Liga,FW,Finisher,2,0,0,0,0.0,0.0,0,0.0
Yehor Yarmoliuk,20.0,Brentford,eng Premier League,MF,Playmaker,1450,0,0,0,0.6,0.9,63,0.4838709677419355
Kenan Yıldız,19.0,Juventus,it Serie A,"FW,MF",Defender,2402,7,4,11,4.3,5.0,121,0.8
Leny Yoro,18.0,Manchester Utd,eng Premier League,DF,Playmaker,1165,0,0,0,0.7,0.1,52,0.5714285714285714
Illia Zabarnyi,21.0,Bournemouth,eng Premier League,DF,Playmaker,3109,0,1,1,1.3,0.7,140,0.9722222222222222
Eloge Zabi,17.0,Reims,fr Ligue 1,"DF,MF",Finisher,18,0,0,0,0.0,0.0,2,0.0
Yoram Zague,18.0,Paris S-G,fr Ligue 1,"DF,FW",Finisher,183,0,0,0,0.1,0.1,10,0.5
Warren Zaïre-Emery,18.0,Paris S-G,fr Ligue 1,"MF,DF",Playmaker,2050,1,2,3,1.7,1.4,135,0.7931034482758621
Arsen Zakharyan,21.0,Real Sociedad,es La Liga,"MF,FW",Finisher,73,1,0,1,0.2,0.1,3,0.3333333333333333
Kevin Zeroli,19.0,Monza,it Serie A,MF,Finisher,395,0,1,1,0.8,0.5,5,0.5
Kevin Zeroli,19.0,Milan,it Serie A,MF,Finisher,12,0,0,0,0.0,0.0,2,0.0
Nathan Zeze,19.0,Nantes,fr Ligue 1,DF,Playmaker,1512,0,0,0,0.3,0.0,46,0.9444444444444444
Luc Zogbé,19.0,Brest,fr Ligue 1,DF,Finisher,638,0,0,0,0.3,0.1,19,0.5384615384615384
Aristide Zossou,19.0,Auxerre,fr Ligue 1,MF,Finisher,16,0,0,0,0.0,0.0,2,0.0
Edhy Zuliani,19.0,Toulouse,fr Ligue 1,DF,Finisher,9,0,0,0,0.0,0.0,0,0.0
