Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Shumaira Mheuka,16.0,Chelsea,eng Premier League,MF,Finisher,1,0,0,0,0.1,0.0,0,0.0
Lucas Michal,19.0,Monaco,fr Ligue 1,"FW,MF",Finisher,117,0,0,0,0.2,0.9,4,0.0
Florian Micheler,19.0,Hoffenheim,de Bundesliga,MF,Finisher,32,0,0,0,0.0,0.0,1,0.0
Igor Miladinović,21.0,Saint-Étienne,fr Ligue 1,"FW,MF",Finisher,26,0,0,0,0.0,0.0,1,0.0
Lewis Miley,18.0,Newcastle Utd,eng Premier League,MF,Finisher,313,1,0,1,0.5,0.0,17,0.07142857142857142
Lucas Mincarelli,20.0,Montpellier,fr Ligue 1,DF,Finisher,715,1,0,1,0.6,0.3,25,0.8
Kim Minsu,18.0,Girona,es La Liga,"MF,FW",Finisher,22,0,0,0,0.0,0.0,0,0.0
Yankuba Minteh,20.0,Brighton,eng Premier League,"FW,MF",Defender,1838,6,4,10,4.1,5.0,48,0.625
Fabio Miretti,20.0,Genoa,it Serie A,"MF,FW",Playmaker,1677,3,3,6,3.1,2.0,54,0.88
David Mokwa,20.0,Hoffenheim,de Bundesliga,"DF,FW",Finisher,22,0,0,0,0.3,0.0,0,0.0
Alberto Moleiro,20.0,Las Palmas,es La Liga,"FW,MF",Defender,2714,6,1,7,5.6,3.3,116,0.9142857142857143
Mikey Moore,16.0,Tottenham,eng Premier League,FW,Finisher,366,0,1,1,0.2,0.3,9,0.3
Diego Moreira,19.0,Strasbourg,fr Ligue 1,"DF,MF",Playmaker,2568,2,7,9,2.0,7.3,87,0.90625
Matias Moreno,20.0,Fiorentina,it Serie A,DF,Finisher,144,0,0,0,0.0,0.0,6,0.5
Xavier Moreno,19.0,Valladolid,es La Liga,FW,Finisher,45,0,0,0,0.0,0.0,1,1.0
Ilaix Moriba,21.0,Celta Vigo,es La Liga,MF,Playmaker,2132,1,1,2,1.7,1.5,119,0.6666666666666666
Raúl Moro,21.0,Valladolid,es La Liga,"MF,FW",Defender,2341,4,5,9,4.1,5.7,81,0.7878787878787878
Gabriel Moscardo,18.0,Reims,fr Ligue 1,"MF,DF",Finisher,84,0,0,0,0.2,0.0,3,0.0
Cristhian Mosquera,20.0,Valencia,es La Liga,DF,Playmaker,3319,1,0,1,0.4,0.0,123,1.0
Yael Mouanga,19.0,Montpellier,fr Ligue 1,DF,Finisher,946,0,0,0,0.1,0.2,22,0.7142857142857143
Youssoufa Moukoko,19.0,Nice,fr Ligue 1,"FW,MF",Finisher,204,2,1,3,2.2,0.8,6,0.18181818181818182
