Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,starter_ratio
510,Santiago Castro,ar ARG,FW,Bologna,it Serie A,19.0,2004.0,36,27,2294,25.5,8,4,12,8,0,1,7,0,7.7,6.9,2.9,9.8,17,39,136,0.31,0.16,0.47,0.31,0.47,0.3,0.11,0.41,0.27,0.38,0.75
2800,Kenan Yıldız,tr TUR,"FW,MF",Juventus,it Serie A,19.0,2005.0,35,28,2402,26.7,7,4,11,7,0,0,2,1,4.3,4.3,5.0,9.3,115,121,223,0.26,0.15,0.41,0.26,0.41,0.16,0.19,0.35,0.16,0.35,0.8
1520,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,21.0,2003.0,28,12,1252,13.9,6,5,11,6,0,0,4,1,5.6,5.6,3.9,9.5,31,79,108,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69,0.42857142857142855
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,0.9705882352941176
1011,Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,19.0,2004.0,32,21,1776,19.7,8,3,11,8,0,0,4,0,3.6,3.6,2.5,6.1,113,42,180,0.41,0.15,0.56,0.41,0.56,0.18,0.13,0.31,0.18,0.31,0.65625
1888,João Neves,pt POR,"MF,DF",Paris S-G,fr Ligue 1,19.0,2004.0,29,22,1844,20.5,3,8,11,3,0,0,1,0,3.0,3.0,4.0,7.0,35,144,80,0.15,0.39,0.54,0.15,0.54,0.15,0.2,0.34,0.15,0.34,0.7586206896551724
2126,Yeremi Pino,es ESP,"MF,FW",Villarreal,es La Liga,21.0,2002.0,34,25,1934,21.5,4,7,11,4,0,0,11,0,3.9,3.9,5.3,9.2,42,66,213,0.19,0.33,0.51,0.19,0.51,0.18,0.25,0.43,0.18,0.43,0.7352941176470589
363,Ange-Yoan Bonny,fr FRA,FW,Parma,it Serie A,20.0,2003.0,37,30,2529,28.1,6,4,10,4,2,3,2,0,9.4,7.1,2.9,9.9,41,53,163,0.21,0.14,0.36,0.14,0.28,0.34,0.1,0.44,0.25,0.35,0.8108108108108109
1757,Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20.0,2004.0,32,20,1838,20.4,6,4,10,6,0,0,6,0,4.1,4.1,5.0,9.1,90,48,201,0.29,0.2,0.49,0.29,0.49,0.2,0.24,0.44,0.2,0.44,0.625
2481,Matìas Soulé,ar ARG,"MF,DF",Roma,it Serie A,21.0,2003.0,27,22,1781,19.8,5,5,10,5,0,0,3,0,3.0,3.0,5.2,8.3,84,89,191,0.25,0.25,0.51,0.25,0.51,0.15,0.26,0.42,0.15,0.42,0.8148148148148148
2643,Christantus Uche,ng NGA,"FW,MF",Getafe,es La Liga,21.0,2003.0,33,30,2486,27.6,4,6,10,4,0,0,8,2,3.8,3.8,2.9,6.7,43,49,148,0.14,0.22,0.36,0.14,0.36,0.14,0.1,0.24,0.14,0.24,0.9090909090909091
